PolicyType.Waypoint,100.0.16.0/24,frankfurt,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},brussels
PolicyType.Waypoint,100.0.16.0/24,frankfurt,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.Waypoint,100.0.16.0/24,frankfurt,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.Waypoint,100.0.16.0/24,zurich,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},brussels
PolicyType.Waypoint,100.0.16.0/24,zurich,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.Waypoint,100.0.16.0/24,zurich,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},madrid
PolicyType.Waypoint,100.0.16.0/24,zurich,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},paris
PolicyType.Waypoint,100.0.16.0/24,zurich,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.Waypoint,100.0.17.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},stockholm
PolicyType.Waypoint,100.0.17.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.Waypoint,100.0.17.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.Waypoint,100.0.18.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet0/0 (100.0.18.0/24)},stockholm
PolicyType.Waypoint,100.0.25.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},stockholm
PolicyType.Waypoint,100.0.25.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},vaduz
PolicyType.Waypoint,100.0.29.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},stockholm
PolicyType.Waypoint,100.0.29.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.Waypoint,100.0.29.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.Waypoint,100.0.30.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},stockholm
PolicyType.Waypoint,100.0.30.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.Waypoint,100.0.30.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.Waypoint,100.0.3.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet0/0 (100.0.3.0/24)},stockholm
PolicyType.Waypoint,100.0.3.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet0/0 (100.0.3.0/24)},vaduz
